book_loans_LoansID,book_loans_BookID,book_loans_BranchID,book_loans_CardNo,book_loans_DateOut,book_loans_DueDate
1,1,1,100,2018-01-01,2018-02-02
2,2,1,100,2018-01-01,2018-02-02
3,3,1,100,2018-01-01,2018-02-02
4,4,1,100,2018-01-01,2018-02-02
5,5,1,102,2018-03-01,2018-03-02
6,6,1,102,2018-03-01,2018-03-02
7,7,1,102,2018-03-01,2018-03-02
8,8,1,102,2018-03-01,2018-03-02
9,9,1,102,2018-03-01,2018-03-02
10,11,1,102,2018-03-01,2018-03-02
11,12,2,105,2017-12-12,2018-12-01
12,10,2,105,2017-12-12,2017-12-01
13,20,2,105,2018-03-02,2018-03-03
14,18,2,105,2018-05-01,2018-05-02
15,19,2,105,2018-05-01,2018-05-02
16,19,2,100,2018-03-01,2018-03-02
17,11,2,106,2018-07-01,2018-07-02
18,1,2,106,2018-07-01,2018-07-02
19,2,2,100,2018-07-01,2018-07-02
20,3,2,100,2018-07-01,2018-07-02
21,5,2,105,2017-12-12,2018-12-01
22,4,3,103,2018-09-01,2018-09-02
23,7,3,102,2018-03-01,2018-03-02
24,17,3,102,2018-03-01,2018-03-02
25,16,3,104,2018-03-01,2018-03-02
26,15,3,104,2018-03-01,2018-03-02
27,15,3,107,2018-03-01,2018-03-02
28,14,3,104,2018-03-01,2018-03-02
29,13,3,107,2018-03-01,2018-03-02
30,13,3,102,2018-03-01,2018-03-02
31,19,3,102,2017-12-12,2018-12-01
32,20,4,103,2018-03-01,2018-03-02
33,1,4,102,2018-12-01,2018-12-02
34,3,4,107,2018-03-01,2018-03-02
35,18,4,107,2018-03-01,2018-03-02
36,12,4,102,2018-04-01,2018-04-02
37,11,4,103,01-15-2018,02-15-2018
38,9,4,103,01-15-2018,02-15-2018
39,7,4,107,2018-01-01,2018-02-02
40,4,4,103,2018-01-01,2018-02-02
41,1,4,103,2017-02-02,2018-02-03
42,20,4,103,2018-03-01,2018-03-02
43,1,4,102,2018-12-01,2018-12-02
44,3,4,107,01-13-2018,02-13-2018
45,18,4,107,01-13-2018,02-13-2018
46,12,4,102,01-14-2018,02-14-2018
47,11,4,103,01-15-2018,02-15-2018
48,9,4,103,01-15-2018,02-15-2018
49,7,4,107,01-19-2018,02-19-2018
50,4,4,103,01-19-2018,02-19-2018
51,1,4,103,01-22-2018,02-22-2018
